File Creation Date,2025-05-13
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2022/10/19,Redwing searobin(meat),Cs-134,,,Bq/kg-fresh
2022/10/19,Round-nose flounder(meat),Cs-134,,,Bq/kg-fresh
2022/10/19,Redwing searobin(meat),Cs-137,0.78,,Bq/kg-fresh
2022/10/19,Round-nose flounder(meat),Cs-137,0.68,,Bq/kg-fresh
2021/05/13,Yellow striped flounder(meat),Cs-134,,,Bq/kg-fresh
2021/05/13,Yellow striped flounder(meat),Cs-137,0.72±0.016,,Bq/kg-fresh
2021/05/13,Yellow striped flounder(meat),H-3:TFWT,0.08±0.01,,Bq/L-water
2021/05/13,Yellow striped flounder(meat),H-3:TFWT,0.063±0.008,,Bq/kg-fresh
2021/05/13,Yellow striped flounder(meat),H-3:OBT,,0.28,Bq/L-combustion water
2021/05/13,Yellow striped flounder(meat),H-3:OBT,,0.062,Bq/kg-fresh
