File Creation Date,2025-05-27
Sampling Location,

Sea surface water,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/02/21,,0.003,0.02,,0.12,
2025/01/24,,0.003,0.016,,,0.05
2024/12/06,,0.003,0.016,,0.1,
2024/11/14,,0.003,0.07,,0.27,
2024/10/16,,0.003,0.12,,0.35,
2024/09/06,,0.003,0.075,,0.26,
2024/08/21,,0.002,0.02,,0.19,
2024/07/08,,0.002,0.008,,0.39,
2024/06/06,,0.002,0.01,,0.06,
2024/05/10,,0.003,0.11,,0.68,
2024/04/12,,0.003,0.093,,0.14,
2024/03/15,,0.003,0.088,,0.53,
2024/02/09,,0.003,0.011,,0.08,
2024/01/18,,0.002,0.012,,0.09,
2023/12/05,,0.003,0.019,,0.14,
2023/11/09,,0.003,0.072,,0.47,
2023/10/12,0.003,,0.12,,0.25,
2023/09/03,,0.003,0.004,,0.09,
2023/08/08,,0.003,0.055,,0.2,
2023/07/11,,0.003,0.16,,,0.39
2023/06/07,0.003,,0.12,,0.39,
2023/05/10,0.003,,0.14,,0.21,
2023/04/25,,0.003,0.006,,,0.37
2023/03/07,,0.003,0.07,,0.51,
2023/02/07,,0.003,0.01,,0.05,
2023/01/13,,0.003,0.042,,,0.36
2022/12/09,,0.003,0.012,,,0.35
2022/11/08,,0.003,0.13,,0.56,
2022/10/21,,0.003,0.1,,0.55,
2022/09/13,,0.003,0.073,,0.61,
2022/08/02,,0.003,0.004,,0.09,
2022/07/05,,0.003,0.007,,,0.35
2022/06/19,,0.003,0.013,,,0.35
2022/05/19,0.006,,0.16,,0.66,
2022/04/13,,0.003,0.016,,,0.35
2022/03/03,,0.002,0.063,,,0.39
2022/02/03,0.002,,0.067,,,0.36
2022/01/13,0.002,,0.054,,,0.34
2021/12/14,,0.003,0.02,,,0.32
2021/11/04,,0.003,0.067,,0.46,
2021/10/15,0.006,,0.12,,,0.37
2021/09/02,0.01,,0.31,,1.4,
2021/08/04,0.004,,0.12,,0.34,
2021/07/06,,0.003,0.01,,,0.33
2021/06/03,,0.003,0.048,,,0.33
2021/05/12,,0.002,0.022,,,0.33
2021/04/20,0.008,,0.19,,0.46,
