org,station,lon,lat
MOE,E-31,141.72766667,39.05916667
MOE,E-32,141.63566667,38.99600000
MOE,E-37,141.94861100,39.25916700
MOE,E-38,141.75500000,39.00833300
MOE,E-39,141.76666700,38.99166700
MOE,E-41,141.58770000,38.89423333
MOE,E-42,141.60333333,38.87801667
MOE,E-43,141.52748333,38.76528333
MOE,E-44,141.47833333,38.57250000
MOE,E-45,141.39666667,38.42555000
MOE,E-46,141.31500000,38.40666667
MOE,E-47,141.19055000,38.35721667
MOE,E-48,141.06638333,38.32250000
MOE,E-49,141.03666667,38.26861667
MOE,E-4A,141.01721667,38.24361667
MOE,E-4B,140.96611667,38.17528333
MOE,E-4C,140.93278333,38.04583333
MOE,E-71,140.96861667,37.87303333
MOE,E-72,140.97665000,37.81750000
MOE,E-73,141.03611667,37.68583333
MOE,E-74,141.02863889,37.63213056
MOE,E-7A,141.03625833,37.58645278
MOE,E-7B,141.03836111,37.57070556
MOE,E-7G,141.06340000,37.48400000
MOE,E-7H,141.04590000,37.38516667
MOE,E-7I,141.03946944,37.33819444
MOE,E-7F,141.02604444,37.26179167
MOE,E-75,141.01555000,37.20858333
MOE,E-76,141.00638333,37.13583333
MOE,E-77,140.99278333,37.05496667
MOE,E-78,140.87971667,36.92303333
MOE,E-79,140.81500000,36.88751667
MOE,E-81,140.78250000,36.81861667
MOE,E-82,140.75778333,36.78555000
MOE,E-83,140.62250000,36.47611667
MOE,E-84,140.60000000,36.33555000
MOE,E-85,140.85718333,35.75195000
MOE,E-T7,140.07611111,35.56444444
MOE,E-T5,140.06111111,35.60527778
MOE,E-T4,140.02166667,35.64166667
MOE,E-T3,139.99027778,35.64583333
MOE,E-T6,139.96013889,35.65656944
MOE,E-T8,139.87091667,35.61963889
MOE,E-T2,139.84619444,35.61408333
MOE,E-T1,139.77130556,35.63647222
MOE,E-S1,141.04210000,37.44111000
MOE,E-S3,141.03970000,37.44111000
MOE,E-S4,141.03870000,37.43375000
MOE,E-S5,141.04620000,37.43289000
MOE,E-S10,141.05060000,37.42924000
MOE,E-S13,141.04610000,37.42568000
MOE,E-S14,141.04200000,37.42026000
MOE,E-S15,141.03760000,37.41028000
MOE,E-S17,140.93060000,37.94023000
MOE,E-S18,140.98040000,37.87594000
MOE,E-S19,141.02240000,37.69780000
MOE,E-S20,141.04630000,37.51869000
MOE,E-S21,141.11670000,37.49908000
MOE,E-S22,141.04630000,37.47364000
MOE,E-S23,141.08140000,37.46388000
MOE,E-S24,141.10280000,37.42867000
MOE,E-S25,141.15930000,37.42863000
MOE,E-S26,141.08160000,37.39344000
MOE,E-S27,141.04630000,37.38354000
MOE,E-S28,141.11680000,37.35820000
MOE,E-S29,141.04630000,37.33849000
MOE,E-S30,141.01420000,37.15994000
MOE,E-S31,140.97920000,36.98159000
MOE,E-S32,140.81120000,36.84495000
MOE,E-S33,141.00920000,37.78973000
MOE,E-S34,141.04190000,37.60934000
MOE,E-S35,141.03490000,37.24782000
MOE,E-S36,141.00180000,37.06915000
MOE,E-37,141.94166667,39.25833333
MOE,E-38,141.75500000,39.00833333
MOE,E-39,141.76666667,38.99166667
MOE,E-3A,141.80000000,38.87500000
MOE,E-4J,141.57083300,38.65638900
MOE,E-4K,141.31666700,38.38333300
MOE,E-4L,141.32500000,38.30833300
MOE,E-4M,141.33333300,38.21666700
MOE,E-4F,141.06583300,38.23944400
MOE,E-4G,141.12500000,38.22500000
MOE,E-4H,141.23333300,38.20000000
MOE,E-7C,140.99166700,37.85000000
MOE,E-7D,141.08333300,37.85000000
MOE,E-7J,141.20000000,37.85000000
MOE,E-7K,140.90000000,36.90000000
MOE,E-7L,140.98333333,36.86666667
MOE,E-7H,141.08333333,36.83333333
NRA,M-101,141.04300000,37.42700000
NRA,M-102,141.04300000,37.41900000
NRA,M-103,141.04700000,37.44500000
NRA,M-104,141.04700000,37.40166667
TEPCO,T-D1,141.07216667,37.50000000
TEPCO,T-D5,141.07216667,37.41666667
TEPCO,T-D9,141.07216667,37.33333333
NRA,M-A1,141.85000000,38.50000000
NRA,M-A3,142.08300000,38.50000000
NRA,M-MI4,141.75000000,38.25000000
NRA,M-B1,141.25700000,38.08300000
NRA,M-B5,142.00000000,38.00000000
NRA,M-C1,141.25700000,37.75000000
NRA,M-C3,141.49000000,37.75000000
NRA,M-D1,141.37300000,37.58300000
NRA,M-D3,141.60700000,37.58300000
NRA,M-E1,141.37300000,37.41700000
NRA,M-E3,141.60700000,37.41700000
NRA,M-E5,142.00000000,37.50000000
NRA,M-F1,141.37300000,37.25000000
NRA,M-F3,141.60700000,37.25000000
NRA,M-G0,141.14000000,37.08300000
NRA,M-G1,141.25700000,37.08300000
NRA,M-G3,141.49000000,37.08300000
NRA,M-G4,141.75000000,37.00000000
NRA,M-H1,141.14000000,36.91700000
NRA,M-H3,141.37300000,36.91700000
NRA,M-I0,140.88300000,36.75000000
NRA,M-I1,140.95000000,36.75000000
NRA,M-I3,141.18300000,36.75000000
NRA,M-J1,140.71700000,36.41700000
NRA,M-IB2,140.85000000,36.41700000
NRA,M-J3,141.06700000,36.41700000
NRA,M-K1,140.71700000,36.06700000
NRA,M-IB4,140.86700000,36.08300000
NRA,M-L1,140.95000000,35.75000000
NRA,M-L3,141.18300000,35.75000000
NRA,M-M1,141.00000000,35.50000000
NRA,M-10,143.00000000,38.50000000
NRA,M-11,144.00000000,38.50000000
NRA,M-14,143.00000000,37.50000000
NRA,M-15,144.00000000,37.50000000
NRA,M-19,142.00000000,36.50000000
NRA,M-20,143.00000000,36.50000000
NRA,M-21,144.00000000,36.50000000
NRA,M-25,142.00000000,35.50000000
NRA,M-26,143.00000000,35.50000000
NRA,M-27,144.00000000,35.50000000
TEPCO,T-A1,141.05076111,37.44079444
TEPCO,T-A2,141.05076111,37.42468611
TEPCO,T-A3,141.05073889,37.40926667
TEPCO,T-1,141.03444444,37.43111111
TEPCO,T-2,141.03361111,37.41583333
TEPCO,T-0-1,141.04027778,37.43055556
TEPCO,T-0-1A,141.04666667,37.43055556
TEPCO,T-0-2,141.04666667,37.42333333
TEPCO,T-0-3,141.04027778,37.41611111
TEPCO,T-0-3A,141.04666667,37.41611111
TEPCO,T-3,141.02638889,37.32222222
TEPCO,T-4,141.01388889,37.24166667
TEPCO,T-6,141.04055556,37.47888889
TEPCO,T-14,141.06250000,37.55277778
TEPCO,T-11,141.04722222,37.24166667
TEPCO,T-D1,141.07222222,37.50000000
TEPCO,T-D5,141.07222222,37.41666667
TEPCO,T-5,141.20000000,37.41666667
TEPCO,T-①,141.04166667,37.55166667
TEPCO,T-②,141.05000000,37.55166667
TEPCO,T-③,141.04166667,37.45833333
TEPCO,T-④,141.05000000,37.45833333
TEPCO,T-⑤,141.05833333,37.45833333
TEPCO,T-⑥,141.04166667,37.38333333
TEPCO,T-⑦,141.05000000,37.38333333
TEPCO,T-⑧,141.05833333,37.38333333
TEPCO,T-⑨,141.09166667,37.38333333
TEPCO,T-⑩,141.16666667,37.38333333
TEPCO,T-⑪,141.20000000,37.38333333
TEPCO,T-⑫,141.25000000,37.38333333
TEPCO,T-⑬,141.02500000,37.23833333
TEPCO,T-S1,141.04222222,37.58472222
TEPCO,T-S2,141.06250000,37.55277778
TEPCO,T-S3,141.07888889,37.45833333
TEPCO,T-S4,141.08250000,37.42861111
TEPCO,T-S5,141.03944444,37.26500000
TEPCO,T-S7,141.04722222,37.31111111
TEPCO,T-S8,141.07888889,37.38333333
TEPCO,T-B1,141.21666667,37.53333333
TEPCO,T-B2,141.23333333,37.51666667
TEPCO,T-B3,141.15416667,37.40777778
TEPCO,T-B4,141.14861111,37.34833333
TEPCO,T-13-1,141.04250000,37.64083333
TEPCO,T-7,141.20000000,37.23333333
TEPCO,T-18,140.92222222,36.90555556
TEPCO,T-12,141.03750000,37.15000000
TEPCO,T-17-1,141.00694444,37.05555556
TEPCO,T-20,141.00000000,36.96666667
TEPCO,T-22,141.02250000,37.82444444
TEPCO,T-MA,141.08333333,37.75000000
TEPCO,T-M10,141.08333333,37.00000000
TEPCO,T-Z,140.78916667,36.79166667
TEPCO,T-A,140.76388889,36.71388889
TEPCO,T-B,140.66555556,36.50638889
TEPCO,T-C,140.60388889,36.29972222
TEPCO,T-D,140.70222222,35.98750000
TEPCO,T-E,140.83722222,35.79611111
TEPCO,T-MG0,141.58333333,38.63333333
TEPCO,T-MG1,141.28333333,38.33333333
TEPCO,T-MG2,141.66666667,38.30000000
TEPCO,T-MG3,141.58333333,38.23333333
TEPCO,T-MG4,141.13333333,38.25000000
TEPCO,T-MG5,141.25000000,38.16666667
TEPCO,T-MG6,141.00000000,38.08333333
NRA,K-T1,139.88106667,35.58656667
NRA,K-T2,139.84325000,35.50331667
MLITT,KK-U1,139.72166667,35.30166667
NRA,M-C1,139.89846667,35.61168333
NRA,M-C2,139.96675000,35.60681667
NRA,M-C3,140.05483333,35.59000000
NRA,M-C4,140.02018333,35.53653333
NRA,M-C6,139.95323333,35.53836667
NRA,M-C7,139.98483333,35.49833333
NRA,M-C8,140.01666667,35.50833333
NRA,M-C9,139.91000000,35.48333333
NRA,M-C10,139.95000000,35.45833333
NRA,C-P1,139.86333333,35.42500000
NRA,C-P2,139.86333333,35.40166667
NRA,C-P3,139.88166667,35.37000000
NRA,C-P4,139.84666667,35.35666667
NRA,C-P5,139.80000000,35.34333333
NRA,C-P8,139.91666667,35.38333333
Fukushima Pref.,F-P01,141.03527778,37.41861111
Fukushima Pref.,F-P02,141.03527778,37.43083333
Fukushima Pref.,F-P03,141.04166667,37.42416667
Fukushima Pref.,F-P04,141.05722222,37.42416667
Fukushima Pref.,F-P05,141.05722222,37.38527778
Fukushima Pref.,F-P06,141.05888889,37.45777778
Fukushima Pref.,F-P07,141.04101667,37.44733889
Fukushima Pref.,F-P08,141.04691944,37.43702222
Fukushima Pref.,F-P09,141.04683333,37.42032778
Fukushima Pref.,F-P10,141.02550000,37.31316667
Fukushima Pref.,F-P11,141.02630556,37.32275000
Fukushima Pref.,F-P12,140.96777778,37.83333333
Fukushima Pref.,F-P13,140.95716667,37.84136111
Fukushima Pref.,F-P14,140.89127778,36.92016667
Fukushima Pref.,F-P15,140.87283333,36.92275000
Fukushima Pref.,F-P29,140.94450000,37.88333333
Fukushima Pref.,F-P30,140.97323333,37.82343333
Fukushima Pref.,F-P31,140.99566667,37.80000000
Fukushima Pref.,F-P32,141.01783333,37.71666667
Fukushima Pref.,F-P33,140.98600000,37.08333333
Fukushima Pref.,F-P34,140.97333333,36.98333333
Fukushima Pref.,F-P35,140.80000000,36.88333333
Fukushima Pref.,F-P37,140.96573611,37.82963056
Fukushima Pref.,F-P38,141.01960000,37.65892778
Fukushima Pref.,F-P39,141.04035000,37.47859722
Fukushima Pref.,F-P40,141.01306944,37.24149167
Fukushima Pref.,F-P41,140.99814722,37.11974722
Fukushima Pref.,F-P42,140.99309167,37.10336111
Fukushima Pref.,F-P43,140.97368056,37.04381389
Fukushima Pref.,F-P45,140.97017222,36.98707222
Fukushima Pref.,F-P46,140.94074167,36.95418889
Fukushima Pref.,F-P47,140.83499444,36.91143611
Fukushima Pref.,F-P48,140.78986389,36.86457500
Fukushima Pref.,F-P49,140.95050000,37.88333333
Fukushima Pref.,F-P50,140.99833333,37.88333333
Fukushima Pref.,F-P51,140.96855000,37.80486667
Fukushima Pref.,F-P52,140.98150000,37.78013333
Fukushima Pref.,F-P53,141.00616667,37.80000000
Fukushima Pref.,F-P54,141.03616667,37.80000000
Fukushima Pref.,F-P55,141.14166667,37.80000000
Fukushima Pref.,F-P56,141.24266667,37.80000000
Fukushima Pref.,F-P57,141.37950000,37.80000000
Fukushima Pref.,F-P58,141.02333333,37.71666667
Fukushima Pref.,F-P59,141.04416667,37.71666667
Fukushima Pref.,F-P60,141.03050000,37.61333333
Fukushima Pref.,F-P61,141.03933333,37.61333333
Fukushima Pref.,F-P62,141.05316667,37.61333333
Fukushima Pref.,F-P63,141.12416667,37.61666667
Fukushima Pref.,F-P64,141.21950000,37.61666667
Fukushima Pref.,F-P65,141.35966667,37.41666667
Fukushima Pref.,F-P66,141.00666667,37.18333333
Fukushima Pref.,F-P67,141.01116667,37.18333333
Fukushima Pref.,F-P68,141.03533333,37.18333333
Fukushima Pref.,F-P69,141.09466667,37.18333333
Fukushima Pref.,F-P70,141.16583333,37.18333333
Fukushima Pref.,F-P71,140.99333333,37.08333333
Fukushima Pref.,F-P72,141.01000000,37.08333333
Fukushima Pref.,F-P73,141.02216667,37.08333333
Fukushima Pref.,F-P74,141.05716667,37.08333333
Fukushima Pref.,F-P75,141.09016667,37.08333333
Fukushima Pref.,F-P76,141.13533333,37.08333333
Fukushima Pref.,F-P77,141.19116667,37.08333333
Fukushima Pref.,F-P78,140.97916667,36.98333333
Fukushima Pref.,F-P79,140.99483333,36.98333333
Fukushima Pref.,F-P80,141.02433333,36.98333333
Fukushima Pref.,F-P81,141.10100000,36.98333333
Fukushima Pref.,F-P82,140.80300000,36.88333333
Fukushima Pref.,F-P83,140.81866667,36.88333333
